UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V0C6	purD	5-phospho-beta-D-ribosylamine + ATP + glycine  ->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+	EC-6.3.4.13	PMM1340	TX50_RS07190	phosphoribosylamine--glycine ligase
Q7V3B5	purE	N5-carboxyaminoimidazole ribonucleotide  ->  5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + 2 H+  <-->  5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + CO2	EC-5.4.99.18 // EC-4.1.1.21	PMM0167	TX50_RS00870	5-(carboxyamino)imidazole ribonucleotide mutase
Q7TUI2	purF	5-phospho-beta-D-ribosylamine + L-glutamate + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + L-glutamine + H2O	EC-2.4.2.14	PMM0004	TX50_RS00035	amidophosphoribosyltransferase
Q7TUG1	purH	IMP + H2O  <-  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide // an N10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide  ->  a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	EC-3.5.4.10 // EC-2.1.2.3	PMM0266	TX50_RS01380	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH
Q7V208	purK	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + ATP + hydrogencarbonate  ->  N5-carboxyaminoimidazole ribonucleotide + ADP + phosphate + 2 H+	EC-6.3.4.18	PMM0683	TX50_RS03630	5-(carboxyamino)imidazole ribonucleotide synthase
Q7V3R5	purL	ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + phosphate + H+	EC-6.3.5.3	PMM0003	TX50_RS00030	phosphoribosylformylglycinamidine synthase subunit PurL
Q7UZR7	purM	ATP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine  ->  ADP + 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + phosphate + H+	EC-6.3.3.1	PMM1589	TX50_RS08505	phosphoribosylformylglycinamidine cyclo-ligase
Q7V1I0	purN	an N10-formyltetrahydrofolate + N1-(5-phospho-beta-D-ribosyl)glycinamide  ->  a tetrahydrofolate + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + H+	EC-2.1.2.2	PMM0891	TX50_RS04760	phosphoribosylglycinamide formyltransferase
Q7V1S5	purQ	ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + phosphate + H+	EC-6.3.5.3	PMM0780	TX50_RS04165	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
Q7V1S6	purS	ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + phosphate + H+	EC-6.3.5.3	PMM0779	TX50_RS04160	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component
Q7V179	purT	N1-(5-phospho-beta-D-ribosyl)glycinamide + formate + ATP  ->  N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + ADP + phosphate + H+	EC-6.3.1.21	PMM1004	TX50_RS05370	formate-dependent phosphoribosylglycinamide formyltransferase
Q7UZG5	purU	an N10-formyltetrahydrofolate + H2O  ->  a tetrahydrofolate + formate + H+	EC-3.5.1.10	PMM1702	TX50_RS09085	formyltetrahydrofolate deformylase
Q7V1G1	pyk	pyruvate + GTP  <-  phosphoenolpyruvate + GDP + H+ // pyruvate + dGTP  <-  phosphoenolpyruvate + dGDP + H+ // pyruvate + dATP  <-  phosphoenolpyruvate + dADP + H+ // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+	EC-2.7.1.40	PMM0912	TX50_RS04870	pyruvate kinase
Q7V355	pyrB	L-aspartate + carbamoyl phosphate  ->  N-carbamoyl-L-aspartate + phosphate + H+	EC-2.1.3.2	PMM0233	TX50_RS01200	aspartate carbamoyltransferase
Q7V2B2	pyrC	(S)-dihydroorotate + H2O  <-  N-carbamoyl-L-aspartate + H+	EC-3.5.2.3	PMM0569	TX50_RS03035	dihydroorotase
Q7V386	pyrD	orotate[in] + 2 H+[in] + 2 e-[membrane]  ->  (S)-dihydroorotate[in] // an electron-transfer quinone[membrane] + 2 H+[in] + 2 e-[membrane]  ->  an electron-transfer quinol[membrane] // (S)-dihydroorotate[in] + an electron-transfer quinone[membrane]  ->  orotate[in] + an electron-transfer quinol[membrane]	EC-1.3.5.2	PMM0199	TX50_RS01030	Dihydroorotate dehydrogenase
Q7V320	pyrE	orotidine 5'-phosphate + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + orotate	EC-2.4.2.10	PMM0275	TX50_RS01430	orotate phosphoribosyltransferase
Q7V0D8	pyrF	orotidine 5'-phosphate + H+  ->  CO2 + UMP	EC-4.1.1.23	PMM1328	TX50_RS07130	orotidine-5'-phosphate decarboxylase
Q7UZH7	pyrG	L-glutamine + H2O  ->  L-glutamate + ammonia + H+ // ATP + UTP + L-glutamine + H2O  ->  ADP + CTP + L-glutamate + phosphate + 2 H+ // ATP + UTP + ammonia  ->  ADP + CTP + phosphate + H+	EC-3.5.1.38 // EC-3.5.1.2 // EC-6.3.4.2	PMM1689	TX50_RS09020	CTP synthase
Q7V2F8	pyrH	ATP + UMP  ->  ADP + UDP	EC-2.7.4.22 // EC-2.7.4.14	PMM0522	TX50_RS02800	UMP kinase
Q7V052	pyrR	UMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + uracil	EC-2.4.2.9	PMM1433	TX50_RS07720	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
Q7V2R3	queA	a 7-aminomethyl-7-deazaguanosine34 in tRNA + S-adenosyl-L-methionine  ->  an epoxyqueuosine34 in tRNA + adenine + L-methionine + H+	EC-2.4.99.17	PMM0406	TX50_RS02185	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
Q7UZH5	queC	7-carboxy-7-deazaguanine + ammonium + ATP  ->  preQ0 + ADP + phosphate + H+ + H2O	EC-6.3.4.20	PMM1691	TX50_RS09030	7-cyano-7-deazaguanine synthase QueC
Q7V2A4	queD	7,8-dihydroneopterin 3'-triphosphate + H2O  ->  6-carboxy-5,6,7,8-tetrahydropterin + acetaldehyde + triphosphate + 2 H+	EC-4.1.2.50	PMM0579	TX50_RS03090	6-carboxytetrahydropterin synthase
Q7UZH6	queE	6-carboxy-5,6,7,8-tetrahydropterin + H+  ->  7-carboxy-7-deazaguanine + ammonium	EC-4.3.99.3	PMM1690	TX50_RS09025	7-carboxy-7-deazaguanine synthase
Q7V027	queF	preQ1 + 2 NADP+  <-  preQ0 + 2 NADPH + 3 H+	EC-1.7.1.13	PMM1461	TX50_RS07855	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
Q7V3R2	queG	a queuosine34 in tRNA + an oxidized electron carrier + H2O  <-  an epoxyqueuosine34 in tRNA + a reduced two electron carrier	EC-1.17.99.6	PMM0007	TX50_RS00050	tRNA epoxyqueuosine(34) reductase QueG
Q7V2D0	rbcL	D-ribulose-1,5-bisphosphate cleaving dioxygenase // 2 3-phospho-D-glycerate + 2 H+  <-  D-ribulose-1,5-bisphosphate + CO2 + H2O	EC-1.13.11 // EC-4.1.1.39	PMM0550	TX50_RS02940	Ribulose 1,5-bisphosphate carboxylase large subunit
Q7V2C9	rbcS	D-ribulose-1,5-bisphosphate cleaving dioxygenase // 2 3-phospho-D-glycerate + 2 H+  <-  D-ribulose-1,5-bisphosphate + CO2 + H2O	EC-1.13.11 // EC-4.1.1.39	PMM0551	TX50_RS02945	Ribulose bisphosphate carboxylase small subunit
Q7UZU3	recA	a DNA segment  =  DNA segment in reverse orientation	EC-5.99.1	PMM1562	TX50_RS08365	recombinase RecA
Q7V1U9	recG	ATP + supercoiled duplex DNA + H2O  ->  ADP + 2 single stranded DNA + phosphate + H+	EC-5.6.2.4	PMM0756	TX50_RS04045	ATP-dependent DNA helicase RecG
Q7V0Q2	rfbF	alpha-D-glucopyranose 1-phosphate + CTP + H+  =  CDP-alpha-D-glucose + diphosphate	EC-2.7.7.33	PMM1204	TX50_RS06495	glucose-1-phosphate cytidylyltransferase
Q7V0Q3	rfbG	CDP-alpha-D-glucose  =  CDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O	EC-4.2.1.45	PMM1203	TX50_RS06490	CDP-glucose 4,6-dehydratase
Q7V1H8	ribA	GTP + 4 H2O  ->  2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + formate + 2 phosphate + 3 H+ // D-ribulose 5-phosphate  ->  formate + 1-deoxy-L-glycero-tetrulose 4-phosphate + H+	EC-3.5.4.25 // EC-4.1.99.12	PMM0893	TX50_RS04770	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase RibB/GTP cyclohydrolase II RibA
Q7TU66	ribD	5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP+  <-  5-amino-6-(5-phospho-D-ribosylamino)uracil + NADPH + H+ // 2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + H+ + H2O  ->  5-amino-6-(5-phospho-D-ribosylamino)uracil + ammonium // 2,5-diamino-6-(5-phosphoribitylamino)pyrimidin-4(3H)-one deaminase	EC-1.1.1.193 // EC-3.5.4.26	PMM1265	TX50_RS06800	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
Q7TUD3	ribE	2 6,7-dimethyl-8-(1-D-ribityl)lumazine + H+  ->  5-amino-6-(D-ribitylamino)uracil + riboflavin	EC-2.5.1.9	PMM0442	TX50_RS02380	riboflavin synthase
Q7V0I4	ribF	roseoflavin 5'-phosphate + ATP + H+  ->  roseoflavin adenine dinucleotide + diphosphate // roseoflavin + ATP  ->  roseoflavin 5'-phosphate + ADP + H+ // ATP + riboflavin  ->  ADP + FMN + H+ // ATP + FMN + H+  <-->  FAD + diphosphate	EC-2.7.7.2 // EC-2.7.1.26	PMM1273	TX50_RS06840	bifunctional riboflavin kinase/FAD synthetase
Q7UZL7	ribH	5-amino-6-(D-ribitylamino)uracil + 1-deoxy-L-glycero-tetrulose 4-phosphate  ->  6,7-dimethyl-8-(1-D-ribityl)lumazine + phosphate + H+ + 2 H2O	EC-2.5.1.78	PMM1643	TX50_RS08785	6,7-dimethyl-8-ribityllumazine synthase
Q7V3H3	rimO	a [ribosomal protein uS12] L-aspartate89 + sulfurated [sulfur carrier] + 2 S-adenosyl-L-methionine + a reduced two electron carrier  ->  a [ribosomal protein uS12]-3-methylsulfanyl-L-aspartate89 + S-adenosyl-L-homocysteine + unsulfurated [sulfur carrier] + L-methionine + 5'-deoxyadenosine + an oxidized electron carrier + 2 H+	EC-2.8.4.4	PMM0102	TX50_RS00540	30S ribosomal protein S12 methylthiotransferase RimO
	rlmB	guanosine2251 in 23S rRNA + S-adenosyl-L-methionine  ->  2-O-methylguanosine2251 in 23S rRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.185			23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
Q7V010	rlmN	adenine2503 in 23S rRNA + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + L-methionine + 5'-deoxyadenosine + a 2-methyladenine2503 in 23S rRNA + 2 oxidized [2Fe-2S] ferredoxin	EC-2.1.1.192	PMM1481	TX50_RS07955	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
Q7V232	rluF	a uridine2604 in 23S rRNA  ->  a pseudouridine2604 in 23S rRNA	EC-5.4.99.21	PMM0658	TX50_RS03495	23S rRNA pseudouridine(2604) synthase RluF
Q7UZQ5	rnc	RNase III mRNA processing substrate + 2 H2O  ->  RNase III processing product mRNA + 2 mRNA fragment	EC-3.1.26.3	PMM1603	TX50_RS08580	ribonuclease III
Q7UZS1	rnd	tRNA precursor with a short 3' extension  ->  uncharged tRNA + n a nucleoside 5'-monophosphate // tRNA precursor with a 5' extension and a short 3' extension  ->  tRNA precursor with a 5' extension + a ribonucleoside 5'-monophosphate // tRNA precursor + H2O  ->  tRNA + a nucleoside 5'-monophosphate	EC-3.1.13.5	PMM1584	TX50_RS08480	ribonuclease D
Q7V385	rnhA	RNA-DNA hybrid + n H2O  ->  DNA + n a nucleoside 5'-monophosphate	EC-3.1.26.4	PMM0200	TX50_RS01035	ribonuclease HI
Q7UZZ2	rnhB	RNA-DNA hybrid + n H2O  ->  DNA + n a nucleoside 5'-monophosphate	EC-3.1.26.4	PMM1502	TX50_RS08060	ribonuclease HII
Q7V0S0	rnpA	tRNA precursor with a 5' extension and a short 3' extension + H2O  ->  tRNA precursor with a short 3' extension + tRNA fragment // tRNA precursor with a 5' extension + H2O  ->  uncharged tRNA + tRNA fragment	EC-3.1.26.5	PMM1184	TX50_RS06390	ribonuclease P
Q7V0B9	rnz	tRNA precursor + H2O  ->  mature tRNA + a single-stranded oligoribonucleotide	EC-3.1.26.11	PMM1349	TX50_RS07235	ribonuclease Z
Q7V1T9	rpe	D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate // D-erythrose 4-phosphate  <-->  D-threose 4-phosphate	EC-5.1.3.1	PMM0766	TX50_RS04095	ribulose-phosphate 3-epimerase
Q7V003	rpiA	D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate	EC-5.3.1.6	PMM1489	TX50_RS07995	ribose-5-phosphate isomerase RpiA
Q7UZW6	rpoA	a nucleoside triphosphate + RNA(n)  =  RNA(n+1) + diphosphate	EC-2.7.7.6	PMM1535	TX50_RS08230	DNA-directed RNA polymerase subunit alpha
Q7V006	rpoB	a nucleoside triphosphate + RNA(n)  =  RNA(n+1) + diphosphate	EC-2.7.7.6	PMM1485	TX50_RS07975	DNA-directed RNA polymerase subunit beta
Q7V007	rpoC1	a nucleoside triphosphate + RNA(n)  =  RNA(n+1) + diphosphate	EC-2.7.7.6	PMM1484	TX50_RS07970	DNA-directed RNA polymerase subunit gamma
Q7V008	rpoC2	a nucleoside triphosphate + RNA(n)  =  RNA(n+1) + diphosphate	EC-2.7.7.6	PMM1483	TX50_RS07965	DNA-directed RNA polymerase subunit beta'
Q7V054	rpoZ	a nucleoside triphosphate + RNA(n)  =  RNA(n+1) + diphosphate	EC-2.7.7.6	PMM1431	TX50_RS07710	DNA-directed RNA polymerase subunit omega
Q7V1E1	rsmA	adenine1518/adenine1519 in 16S rRNA + 4 S-adenosyl-L-methionine  ->  N6-dimethyladenine1518/N6-dimethyladenine1519in 16S rRNA + 4 S-adenosyl-L-homocysteine + 4 H+	EC-2.1.1.182	PMM0933	TX50_RS04975	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
Q7V128	rsmD	a guanine966 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an N2-methylguanine966 in 16S rRNA + H+	EC-2.1.1.171	PMM1059	TX50_RS05690	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
Q7V016	rsmG	a guanine527 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an N7-methylguanine527 in 16S rRNA	EC-2.1.1.170	PMM1475	TX50_RS07925	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
Q7V3B1	rsmH	a cytidine1402 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an N4-methylcytidine1402  in 16S rRNA + H+	EC-2.1.1.199	PMM0171	TX50_RS00890	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
Q7V0R3	rsmI	a cytidine1402 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + a 2'-O-methylcytidine1402 in 16S rRNA + H+	EC-2.1.1.198	PMM1193	TX50_RS06435	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
Q7V132	ruvC	DNA combined with exogenous DNA to form a recombinational junction + H2O  ->  resolution of recombinational junction formation of two intact strands	EC-3.1.21	PMM1054	TX50_RS05665	crossover junction endodeoxyribonuclease RuvC
Q7V1R4	ruvX	DNA combined with exogenous DNA to form a recombinational junction + H2O  ->  resolution of recombinational junction formation of two intact strands	EC-3.1.21	PMM0791	TX50_RS04220	Holliday junction resolvase RuvX
Q7V113	sasA	a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	EC-2.7.13.3	PMM1077	TX50_RS05785	two-component sensor histidine kinase 2
Q7V361	sat	sulfate + ATP + H+  ->  adenosine 5'-phosphosulfate + diphosphate // selenate + ATP + H+  ->  adenosine 5'-phosphoselenate + diphosphate	EC-2.7.7.4	PMM0227	TX50_RS01170	sulfate adenylyltransferase
Q7V372	sbtA	bicarbonate:sodium symport		PMM0213	TX50_RS01100	Na<sup>+</sup>-dependent bicarbonate transporter
Q7V268	sds	geranylgeranyl diphosphate + 5 isopentenyl diphosphate  ->  all-trans-nonaprenyl diphosphate + 5 diphosphate	EC-2.5.1.85	PMM0618	TX50_RS03285	polyprenyl synthetase solanesyl diphosphate synthase
Q7V2Z5	selD	selenide + ATP + H2O  ->  selenophosphate + AMP + phosphate	EC-2.7.9.3	PMM0302	TX50_RS01560	selenide, water dikinase SelD
Q7V2G5	serB	O-phospho-L-serine + H2O  ->  L-serine + phosphate // L(or D)-O-phosphoserine + H2O + H+  ->  D-or-L-serine + phosphate	EC-3.1.3.3	PMM0515	TX50_RS02765	phosphoserine phosphatase
Q7V3N9	serC	O-phospho-L-serine + 2-oxoglutarate  <-->  L-glutamate + 3-phosphooxypyruvate // 4-phosphooxy-L-threonine + 2-oxoglutarate  <-->  (3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + L-glutamate	EC-2.6.1.52	PMM0035	TX50_RS00190	phosphoserine transaminase
Q7V0R7	serS	tRNAser + L-serine + ATP  ->  L-seryl-[tRNAser] + AMP + diphosphate // tRNAsec + L-serine + ATP  ->  L-seryl-[tRNAsec] + AMP + diphosphate	EC-6.1.1.11	PMM1188	TX50_RS06410	serine--tRNA ligase
Q7V331	sfsA	double stranded DNA + n H2O  ->  n+1 a 5'-phosphooligonucleotide	EC-3.1.21.1	PMM0262	TX50_RS01360	DNA/RNA nuclease SfsA
Q7V1U7	sir	hydrogen sulfide + 6 oxidized ferredoxin [iron-sulfur] cluster + 3 H2O  <-  sulfite + 6 reduced ferredoxin [iron-sulfur] cluster + 8 H+	EC-1.8.7.1	PMM0758	TX50_RS04055	ferredoxin-sulfite reductase
Q7V3M9	speA	L-arginine + H+  ->  CO2 + agmatine	EC-4.1.1.19	PMM0045	TX50_RS00240	biosynthetic arginine decarboxylase
Q7UZH9	speB	agmatine + H2O  ->  urea + putrescine	EC-3.5.3.11	PMM1686	TX50_RS09005	agmatinase
Q7UZI0	speE	putrescine + S-adenosyl 3-(methylsulfanyl)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+	EC-2.5.1.16	PMM1685	TX50_RS09000	spermidine synthase
Q7V0S4	sppA	a lipoprotein signal peptide + n H2O  ->  n+1 peptide	EC-3.4.21	PMM1180	TX50_RS06370	signal peptide peptidase SppA
Q7UZF6	spsA	UDP-alpha-D-glucose + beta-D-fructofuranose 6-phosphate  ->  sucrose 6F-phosphate + UDP + H+	EC-2.4.1.14	PMM1711	TX50_RS09135	sucrose-phosphate synthase
Q7UZJ8	sqdB	UDP-alpha-D-sulfoquinovopyranose + H2O  ->  UDP-alpha-D-glucose + sulfite + H+	EC-3.13.1.1	PMM1665	TX50_RS08895	UDP-sulfoquinovose synthase
Q7UZJ7	sqdX	UDP-alpha-D-sulfoquinovopyranose + a 1,2-diacyl-sn-glycerol  ->  a 1,2-diacyl-3-(6-sulfo-alpha-D-quinovosyl)-sn-glycerol + UDP + H+	EC-2.4.1	PMM1666	TX50_RS08900	sulfoquinovosyldiacylglycerol synthase
Q7V3K5	sufS	L-selenocysteine + a reduced two electron carrier  ->  L-alanine + selenide + an oxidized electron carrier + 2 H+ // L-cysteine + unsulfurated [sulfur carrier]  ->  L-alanine + sulfurated [sulfur carrier] // L-cysteine + an [L-cysteine desulfurase]-L-cysteine  ->  L-alanine + an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + unsulfurated [sulfur carrier]  <-->  an [L-cysteine desulfurase]-L-cysteine + sulfurated [sulfur carrier] // 3-sulfino-L-alanine + H2O  ->  L-alanine + sulfite + H+	EC-4.4.1.16 // EC-2.8.1.7 // EC-3.13.1	PMM0070	TX50_RS00370	SufS family cysteine desulfurase
Q7V371	sulP1	sulfate[out] + H+[out]  ->  sulfate[in] + H+[in]		PMM0214	TX50_RS01105	sulfate permease
Q7V244	sulP2	sulfate[out] + H+[out]  ->  sulfate[in] + H+[in]		PMM0644	TX50_RS03415	sulfate permease
Q7V0I6	surE	a ribonucleoside 5'-monophosphate + H2O  ->  a ribonucleoside + phosphate	EC-3.1.3.5	PMM1271	TX50_RS06830	5'/3'-nucleotidase SurE
Q7V2G1	tal	D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-erythrose 4-phosphate	EC-2.2.1.2	PMM0519	TX50_RS02785	transaldolase
Q7TUG0	tgt	a guanine34 in tRNA + preQ1  ->  a 7-aminomethyl-7-deazaguanosine34 in tRNA + guanine	EC-2.4.2.29	PMM0271	TX50_RS01405	tRNA guanosine(34) transglycosylase Tgt
Q7V395	thdF	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM0189	TX50_RS00980	Predicted GTPase
Q7UZP7	thiC	5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + S-adenosyl-L-methionine  ->  4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-deoxyadenosine + L-methionine + formate + carbon monoxide + 3 H+	EC-4.1.99.17	PMM1611	TX50_RS08620	phosphomethylpyrimidine synthase
Q7V2V2	thiD	ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+ // 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	EC-2.7.1.49 // EC-2.7.4.7	PMM0358	TX50_RS01905	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
Q7V0I3	thiE	thiamin phosphate synthase // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + 2 H+  ->  thiamine phosphate + CO2 + diphosphate	EC-2.5.1.3	PMM1274	TX50_RS06845	Thiamine monophosphate synthase
Q7UZT6	thiF	[ThiS sulfur-carrier protein] + ATP + H+  ->  carboxy-adenylated-[ThiS sulfur-carrier protein] + diphosphate	EC-2.7.7.73	PMM1569	TX50_RS08400	sulfur carrier protein ThiS adenylyltransferase
Q7UZJ9	thiG	1-deoxy-D-xylulose 5-phosphate + 2-iminoacetate + thiocarboxylated-[ThiS sulfur-carrier protein]  ->  2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + [ThiS sulfur-carrier protein] + 2 H2O	EC-2.8.1.10	PMM1664	TX50_RS08890	thiazole synthase
Q7V3P7	thiL	thiamine phosphate + ATP  ->  ADP + thiamine diphosphate	EC-2.7.4.16	PMM0024	TX50_RS00135	thiamine-monophosphate kinase
Q7TUH7	thiO	glycine + oxygen  ->  2-iminoacetate + hydrogen peroxide + H+ // glycine + H2O + oxygen  ->  glyoxylate + ammonium + hydrogen peroxide // 2-iminoacetate + H+ + H2O  ->  glyoxylate + ammonium	EC-1.4.3.3 // EC-1.4.3.19	PMM0047	TX50_RS00250	glycine oxidase
Q7V135	thrA	L-homoserine + NAD(P)+  <-  L-aspartate 4-semialdehyde + NAD(P)H + H+	EC-1.1.1.3	PMM1051	TX50_RS05650	homoserine dehydrogenase
Q7V289	thrB	L-homoserine + ATP  ->  O-phospho-L-homoserine + ADP + H+	EC-2.7.1.39	PMM0595	TX50_RS03170	homoserine kinase
Q7TU15	thrC	O-phospho-L-homoserine + H2O  ->  L-threonine + phosphate	EC-4.2.3.1	PMM1716	TX50_RS09160	threonine synthase
Q7V287	thrS	tRNAThr + L-threonine + ATP  ->  L-threonyl-[tRNAThr] + AMP + diphosphate	EC-6.1.1.3	PMM0597	TX50_RS03180	threonine--tRNA ligase
Q7V347	thyX	dUMP + a 5,10-methylenetetrahydrofolate + NADPH + H+  ->  dTMP + a tetrahydrofolate + NADP+	EC-2.1.1.148	PMM0243	TX50_RS01260	thymidylate synthase (FAD)
Q7UZK8	tig	a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)	EC-5.2.1.8	PMM1655	TX50_RS08845	trigger factor
Q7UZL1	tilS	a cytidine34 in tRNAIle2 + L-lysine + ATP  ->  a lysidine34 in tRNAIle2 + AMP + diphosphate + 2 H+	EC-6.3.4.19	PMM1651	TX50_RS08825	tRNA lysidine(34) synthetase TilS
Q7UZP8	tkt	D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  D-ribose 5-phosphate + D-xylulose 5-phosphate // D-erythrose 4-phosphate + D-xylulose 5-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate	EC-2.2.1.1	PMM1610	TX50_RS08615	transketolase
Q7V2N7	topA	negatively supercoiled DNA  =  relaxed DNA	EC-5.6.2.1	PMM0436	TX50_RS02350	type I DNA topoisomerase
Q7V1N4	tpiA	D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate	EC-5.3.1.1	PMM0829	TX50_RS04440	triose-phosphate isomerase
Q7V3J0	trkA	K+[periplasm]  ->  K+[cytosol]		PMM0085	TX50_RS00450	TrkA potassium uptake protein
Q7V3J1	trkG	K<sup>+</sup>:proton symport		PMM0084	TX50_RS00445	potassium:proton symporter
Q7V350	trmB	a guanine46 in tRNA + S-adenosyl-L-methionine  ->  an N7-methylguanine46 in tRNA + S-adenosyl-L-homocysteine	EC-2.1.1.33	PMM0240	TX50_RS01245	tRNA (guanosine(46)-N7)-methyltransferase TrmB
Q7V0H7	trmD	guanine37 in tRNAPhe + S-adenosyl-L-methionine  ->  an N1-methylguanine37 in tRNAPhe + S-adenosyl-L-homocysteine + H+ // a guanine37 in tRNA + S-adenosyl-L-methionine  ->  an N1-methylguanine37 in tRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.228	PMM1280	TX50_RS09360	tRNA (guanosine(37)-N1)-methyltransferase TrmD
